FECHA_CREACION,NUMERO_PQR,descripcion,clasificacion
2022-12-12 13:26:28,MDM-PQR-35637890,damar llegar cara actuacion,1
2022-12-23 08:49:12,MDM-PQR-35845934,notifico presentar problema factura,1
2023-01-28 12:40:48,MDM-PQR-36656371,maniqui calderonfactura,1
2023-01-28 14:32:25,MDM-PQR-36659076,consulta facturacion,0
2023-01-12 18:47:19,MDM-PQR-36275687,solicitar informacion,1
2023-01-28 16:53:18,MDM-PQR-36661914,sargento sdigitalesetbcomco querer saber recibido factura,0
2022-12-17 12:20:44,MDM-PQR-35741007,farol realacer incremento velocidad inferior m segunccomunicado prestarno incremento tipo plan velocidad menor,0
2023-02-11 15:17:55,MDM-PQR-37029900,factura llego,1
2022-12-25 07:15:19,MDM-PQR-35868671,solicitar informacion,1
2023-02-07 14:16:51,MDM-PQR-36926092,solicitar informacion facturacion,1
2023-01-19 15:31:43,MDM-PQR-36424985,dudar facturacion ayer am llegar sms decir plan solicitado ningun plar pago factura factura pendiente querer saber,0
2023-01-30 14:52:47,MDM-PQR-36699257,concepto facturabl caracteristico plan,0
2023-01-20 15:40:55,MDM-PQR-36448041,solicitar informacion deuda acuerdo,1
2023-02-09 16:16:37,MDM-PQR-36984925,sms decir suspendido servico hacer ano entrego,0
2023-02-16 13:38:53,MDM-PQR-37131070,desear verifico factura,0
2023-01-25 15:12:47,MDM-PQR-36567877,solicitar informacion factura incremento,1
2023-02-06 10:31:33,MDM-PQR-36886825,factura llego mas elevado acostumbrado pagar,0
2022-12-29 10:28:57,MDM-PQR-35957051,mypicristiar querer explicar factura saber llegoporun tanto valido saw factura explicar,0
2023-01-16 12:07:41,MDM-PQR-36338368,valer factura,1
2023-02-28 12:53:48,MDM-PQR-37390570,informacion factura,0
2023-01-24 11:08:34,MDM-PQR-36530565,hacer dejar lleno muerto fallo genero factura completo,0
2022-12-10 10:35:51,MDM-PQR-35607589,factura llego mas querer saber,0
2023-01-31 12:42:03,MDM-PQR-36728308,solicitar confirmar factura bajo,0
2023-02-06 07:56:46,MDM-PQR-36881237,solicitar informacion aumento factura,0
2022-12-28 07:21:04,MDM-PQR-35926150,facturacion,1
2023-01-25 13:42:30,MDM-PQR-36564241,informar suspendido pago,0
2023-02-13 21:46:42,MDM-PQR-37068150,descuento retencion aplicado pretencion genere cobro corresponder genere cobro dar realizar pago,0
2022-12-09 14:30:32,MDM-PQR-35594283,llamadavalidacion factura mama deacuerdir incremento ley ir colocar queja,0
2023-01-05 10:13:26,MDM-PQR-36115535,incremento tarifario,0
2023-01-23 16:09:09,MDM-PQR-36510618,querer saber llego factura mil peso mas cara,0
2023-02-07 09:06:46,MDM-PQR-36914491,leido camile dirar descripcion factura llego mas,1
2023-01-22 20:08:57,MDM-PQR-36487159,contacta solicitar informacion factura,1
2023-01-30 17:25:59,MDM-PQR-36705785,incremento bajo indicado brindar oferta,0
2023-01-14 14:42:46,MDM-PQR-36312560,intentar pagar aparecer peso,0
2023-02-03 20:51:44,MDM-PQR-36845418,solicitar confirmar factura,0
2023-01-24 09:12:44,MDM-PQR-36525733,margen saber saldo promocion,0
2022-12-04 18:06:11,MDM-PQR-35496944,tomar costa llego factura mas costoso,1
2023-01-21 11:42:56,MDM-PQR-36465315,validar factura,0
2022-12-23 08:16:20,MDM-PQR-35845155,acerca senoro estreno lodoso solicitar aclaracion factura generado llego elevado explicar corresponder recargo factura anterior hacer suscriptor menciono,0
2022-12-04 16:26:38,MDM-PQR-35496198,llego factura mas querer saber,1
2023-01-11 15:49:51,MDM-PQR-36243553,sabria solicitar informacion manejar,1
2023-02-24 08:59:07,MDM-PQR-37304759,incremento factura,1
2023-02-03 17:13:09,MDM-PQR-36840067,sryessico mate solicitar validar concepto facturar descuento escalonado,1
2023-02-10 15:06:15,MDM-PQR-37009720,informacion factura,1
2022-12-26 12:29:31,MDM-PQR-35883957,solicitar,0
2023-01-30 12:28:54,MDM-PQR-36692738,anillo solicitar transferir facturacion,1
2023-02-20 17:56:46,MDM-PQR-37212474,sryazmin almanzarcliente solicitar compensacion fallo,0
2023-02-06 15:55:56,MDM-PQR-36899775,duplicado,0
2023-02-02 16:21:20,MDM-PQR-36804846,concepto facturar,0
2022-12-22 14:16:12,MDM-PQR-35834794,solicitar cancelacion winsportsport,1
2023-01-20 08:34:30,MDM-PQR-36435133,desear saber cuantar,1
2023-01-05 17:07:36,MDM-PQR-36132520,informar realizar incremento llevar ano,0
2023-01-19 14:12:24,MDM-PQR-36422185,lagosexplciacion factura enviar,1
2023-02-16 19:48:18,MDM-PQR-37141066,politico favorabilidad solicitar ajuste factura cobro realizado sva directv solicitar retirar acuerdo cobro asesoramiento asesor realizar ajuste bajo politico favorabilidad ingreso retirar sva inactivo justificacion penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-02-16 19:10:22,MDM-PQR-37140334,llegar factura valido tenia saldo favor dar factura,0
2023-01-27 11:04:40,MDM-PQR-36624352,concepto facturar,0
2022-12-02 11:39:25,MDM-PQR-35460003,realizar domiciliario bancario embargo aparecer error ups momento pagina buscar trabajar brindartir mejor intentar mas tarde,0
2022-12-30 08:13:19,MDM-PQR-35977824,indicar saber factura llego,1
2023-01-04 12:25:28,MDM-PQR-36089618,cancelar,1
2023-02-14 07:36:36,MDM-PQR-37070881,solicitar informacion factura,0
2022-12-28 17:31:56,MDM-PQR-35944425,manan bajar dirar j descripcion realacer plan indicar realizar plan dejar descuento,1
2022-12-28 11:01:15,MDM-PQR-35932403,,1
2022-12-05 16:32:57,MDM-PQR-35519120,factura envia factura promocion prorrateo am,1
2022-12-28 12:43:17,MDM-PQR-35936106,afinador mendir dirar d descripcion vendar plan descuento escalonado llego factura,0
2023-02-09 08:29:46,MDM-PQR-36968511,desear retirar decodificador,0
2023-01-11 12:52:01,MDM-PQR-36237136,ajuste factura usado,1
2022-12-05 16:42:07,MDM-PQR-35519549,solicitar cancelar seguir llegar actuacion,1
2023-02-14 08:45:15,MDM-PQR-37072569,querer cancelar ano ir pai cuanto clausular,0
2023-02-02 14:20:23,MDM-PQR-36799421,verificar,1
2023-01-26 17:38:09,MDM-PQR-36606237,fanegar ver reflejado descuento escalonado promocion,0
2023-01-16 12:21:48,MDM-PQR-36338898,consulta aumento factura,0
2023-01-19 11:41:43,MDM-PQR-36416763,informar estar facturar directo hato retirar informar,0
2023-02-10 13:56:10,MDM-PQR-37007793,validar cuantar realacer pago desear validar si ver reflejado decir pago,0
2022-12-06 19:10:51,MDM-PQR-35551732,nombrelaura dirar asuntofacturar incremento anual,1
2023-02-03 14:22:12,MDM-PQR-36833888,validar si descuento vigente crimar factura,0
2023-02-21 14:16:17,MDM-PQR-37233590,noecortespegsacomco incremento factura,1
2023-02-02 12:02:36,MDM-PQR-36792937,podido hacer pago factura intentado manera presencial aparecer momento cortado,1
2023-02-28 13:24:39,MDM-PQR-37391593,escala lime ajuste compensacion,1
2023-01-28 16:23:14,MDM-PQR-36661381,desear explicar varios cobro directv,0
2023-01-16 13:30:26,MDM-PQR-36341350,ninez hacer pago tiempo factura llego,1
2023-02-23 11:01:58,MDM-PQR-37284558,facturacion x,0
2023-02-09 15:21:07,MDM-PQR-36983035,arz dirar asunto factura,1
2023-02-06 14:59:57,MDM-PQR-36897636,solicitar referencia pago,1
2022-12-19 10:16:21,MDM-PQR-35758571,solicitar informacion factura incremento ley,0
2022-12-28 08:50:07,MDM-PQR-35927928,saldo facturar,1
2023-02-01 13:11:38,MDM-PQR-36760429,retirar winsport nuevamente estar facturar brindar indicado,0
2023-01-10 20:33:55,MDM-PQR-36221594,valido generar proceso ajuste facturacion venta carrusel inactivo generar cerrar ciclo mismo genero factura periodo solicitar validacion factura acuerdo respuesta brindado,1
2022-12-15 09:43:52,MDM-PQR-35699066,tesoreriasantodomingonetco querer saber incremento factura,0
2023-02-11 09:43:08,MDM-PQR-37021701,solicitar informacion acerca concepto facturar,0
2023-02-11 16:38:42,MDM-PQR-37031374,pasar estar cobrar factura primero si suponer cortar decir cortar pa cobrar nuevamente agradecer tiempo comentar suceder solicitud suspension voluntario genero diar momento habia generado factura fecha ciclo cada caso tendria opcion generar pago factura momento genere reconexion llegar factura cobro genero facturacion mas facturacion genere reconexion generar pago factura vez genere reconexion facturacion active factura diferencia quedariar saldo favor,1
2022-12-19 20:51:59,MDM-PQR-35775347,pago factura domiciliario,0
2023-02-16 11:02:07,MDM-PQR-37125663,solicitar informacion facturacion,0
2022-12-05 15:36:55,MDM-PQR-35516964,solicitar informacion factura duplicado factura,1
2023-01-04 11:38:10,MDM-PQR-36087679,war ordenar ordenar solicitar informacion cobro factura,1
2023-01-04 15:36:44,MDM-PQR-36096333,factura mas,0
2023-01-02 05:46:43,MDM-PQR-36015421,cancelo porq llevar porq hacer traslado todavio,1
2023-01-13 16:08:54,MDM-PQR-36296257,desear plan,1
2022-12-05 13:38:06,MDM-PQR-35513009,factura,0
2022-12-28 10:41:46,MDM-PQR-35931704,senoro desear hacer reclamo cobrar si senoro nunca solicitar directv flex evidenciar indicado senor pedrado solicitar directv flex,0
2022-12-07 16:09:32,MDM-PQR-35568771,consultar factura retirar incremento ley aun factura llegar mismo,1
2023-02-09 09:13:26,MDM-PQR-36969780,factura,1
2023-01-25 13:15:58,MDM-PQR-36563053,llevar solicitar descuento factura,1
2023-01-04 18:38:41,MDM-PQR-36101750,manifestar reflejar incremento facturacion evidenciar descuento inicialmente ofrecido,1
2023-01-16 09:06:00,MDM-PQR-36331354,revisar factura,1
2023-02-01 17:05:56,MDM-PQR-36769813,ingresar llamado corto,0
2022-12-17 11:59:34,MDM-PQR-35740484,miedo solicitar informacion factura,0
2022-12-09 14:29:55,MDM-PQR-35594264,factura llego costoso ofrecido pasado inconfor respuesta dar bajo cun cobrar correspondiente plan momento tenia aficionado estar indicar cada incluido,1
2023-02-03 15:57:29,MDM-PQR-36837272,llamar plan mas economico,1
2023-01-27 12:47:34,MDM-PQR-36629653,solicitar envio factura salir vacacion requerir pagar servico ir,0
2023-02-06 16:54:11,MDM-PQR-36902092,solicitar informacion incremento tarifario paquetir,1
2023-02-07 17:38:24,MDM-PQR-36933131,prueba querer saber estar cobrar,1
2023-01-19 10:50:56,MDM-PQR-36414737,llegar factura elevado,0
2023-01-24 15:14:46,MDM-PQR-36539940,aclaracion factura,0
2023-01-16 09:07:44,MDM-PQR-36331416,factura factura anterior,0
2023-02-22 11:20:26,MDM-PQR-37258279,caido telefono dirar d solicitar hacer ajuste salvo favor factura pasado cobrar hbo consentimiento,0
2023-01-26 18:40:38,MDM-PQR-36608109,factura,0
2023-02-28 15:28:54,MDM-PQR-37395639,solicitar retirar incremento ley,1
2023-01-13 12:08:21,MDM-PQR-36288218,validacion factura,0
2023-02-22 07:52:12,MDM-PQR-37250146,car victorvillamizarmorenoyahoocom,1
2023-01-31 08:30:59,MDM-PQR-36718118,informacion factura,0
2023-01-28 13:53:41,MDM-PQR-36658271,copia factura,0
2023-02-02 07:30:03,MDM-PQR-36781832,pedir ajuste factura solicitar retirar directo go asesoramiento cerrar caso evidenciar retirar directo go diar bajo justificacion penalizacion ajuste ajustado frente incluido ajuste incluido diferencia ajuste correcto,0
2023-01-27 09:23:25,MDM-PQR-36619569,generado descuento facturacion proa descuento sero,1
2022-12-25 19:42:58,MDM-PQR-35871915,concepto facturabl factura,0
2023-01-04 13:22:18,MDM-PQR-36091668,bendito solicitar validar concepto facturar fecha corte,1
2023-01-05 09:27:21,MDM-PQR-36113368,informacion llego,0
2023-01-16 09:29:16,MDM-PQR-36332197,concepto facturar,0
2023-01-24 13:34:14,MDM-PQR-36536416,validacion factura,1
2023-02-01 14:14:53,MDM-PQR-36763043,validar ajuste factura queja realizado,0
2022-12-12 08:11:28,MDM-PQR-35626962,solicitar aclaracion factura,1
2022-12-26 16:15:20,MDM-PQR-35892041,factura,0
2023-02-25 12:14:35,MDM-PQR-37333444,bandido actualizacion,0
2023-01-27 09:19:30,MDM-PQR-36619419,reconexion traslado,0
2023-02-09 18:50:04,MDM-PQR-36989161,factura,1
